rank,accuracy,error,level,folds,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,iteration
0.8193777777777782,0.10333333333333333,0.23856666666666684,0,0,1.0,,,,,,,,,,,10
0.8139666666666673,0.09333333333333334,0.24537777777777792,1,0,0.5,0.5,,,,,,,,,,10
1.0,0.0033333333333333335,0.4983333333333334,2,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,,,,,10
1.0,0.0033333333333333335,0.4983333333333334,3,0,0.25,0.25,0.25,0.25,,,,,,,,10
1.0,0.0033333333333333335,0.4983333333333334,4,0,0.2,0.2,0.2,0.2,0.2,,,,,,,10
1.0,0.0033333333333333335,0.4983333333333334,5,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,,,,,,10
1.0,0.0033333333333333335,0.4983333333333334,6,0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,,,,,10
1.0,0.0033333333333333335,0.4983333333333334,7,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,,,,10
1.0,0.0033333333333333335,0.4983333333333334,8,0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,,,10
1.0,0.0033333333333333335,0.4983333333333334,9,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,10
1.0,0.0033333333333333335,0.4983333333333334,10,0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,10
0.820055555555556,0.11666666666666667,0.23388888888888887,0,1,1.0,,,,,,,,,,,10
0.8177777777777779,0.11666666666666667,0.22448888888888888,1,1,0.5328374164600761,0.46716258353992396,,,,,,,,,,10
1.0,0.0033333333333333335,0.4983333333333334,2,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,,,,,10
1.0,0.0033333333333333335,0.4983333333333334,3,1,0.25,0.25,0.25,0.25,,,,,,,,10
1.0,0.0033333333333333335,0.4983333333333334,4,1,0.2,0.2,0.2,0.2,0.2,,,,,,,10
1.0,0.0033333333333333335,0.4983333333333334,5,1,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,,,,,,10
1.0,0.0033333333333333335,0.4983333333333334,6,1,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,,,,,10
1.0,0.0033333333333333335,0.4983333333333334,7,1,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,,,,10
1.0,0.0033333333333333335,0.4983333333333334,8,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,,,10
1.0,0.0033333333333333335,0.4983333333333334,9,1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,10
1.0,0.0033333333333333335,0.4983333333333334,10,1,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,10
